"";"title";"first_name";"last_name";"full_name";"gender";"date_birth";"place_birth";"country_birth";"date_death";"religion";"family_stat";"occupation";"party";"time";"legislature";"elect_distr";"faction";"mandate_type"
"1";"Dr.";"Manfred";"Abelein";"Dr. Manfred Abelein";"männlich";"20.10.1930";"Stuttgart";NA;"17.01.2008";"katholisch";"keine Angaben";"Rechtsanwalt, Wirtschaftsprüfer, Universitätsprofessor";"CDU";1;"5";"174";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Direktwahl"
"2";"Dr.";"Ernst";"Achenbach";"Dr. Ernst Achenbach";"männlich";"09.04.1909";"Siegen";NA;"02.12.1991";"evangelisch";"verheiratet, 3 Kinder";"Rechtsanwalt und Notar";"FDP";1;"3";NA;"Fraktion der Freien Demokratischen Partei";"Landesliste"
"3";"";"Annemarie";"Ackermann";"Annemarie Ackermann";"weiblich";"26.05.1913";"Parabutsch";"Jugoslawien";"18.02.1994";"katholisch";"verheiratet, 5 Kinder";"Hilfsreferentin";"CDU";1;"2";NA;"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Landesliste"
"4";"Dr.";"Else";"Ackermann";"Dr. Else Ackermann";"weiblich";"06.11.1933";"Berlin";NA;"14.09.2019";"evangelisch";"ledig";"Ärztin";"CDU";1;"11";NA;"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Volkskammer"
"5";"";"Ulrich";"Adam";"Ulrich Adam";"männlich";"09.06.1950";"Teterow, Kr. Teterow, Bezirk Neubrandenburg";NA;NA;"evangelisch";"verheiratet, 2 Kinder";"Mathematiker, Geschäftsführer";"CDU";1;"12";"268";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Direktwahl"
"6";"";"Rudolf";"Adams";"Rudolf Adams";"männlich";"10.11.1919";"Masburg / Kreis Cochem";NA;"25.05.2013";"evangelisch";"verheiratet, 2 Kinder";"Gewerkschaftssekretär";"SPD";1;"5";NA;"Fraktion der Sozialdemokratischen Partei Deutschlands";"Landesliste"
"7";"";"Raban";"Adelmann";"Raban Adelmann";"männlich";"28.09.1912";"Düsseldorf";NA;"25.01.1992";"katholisch";"verheiratet, 4 Kinder";"Landwirt, Weingutbesitzer";"CDU";1;"3";"165";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Direktwahl"
"8";"Dr.";"Konrad";"Adenauer";"Dr. Konrad Adenauer";"männlich";"05.01.1876";"Köln";NA;"19.04.1967";"katholisch";"keine Angaben";"Bundeskanzler a. D.";"CDU";1;"1";"10";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Direktwahl"
"9";"";"Brigitte";"Adler";"Brigitte Adler";"weiblich";"22.06.1944";"Drangstedt / Krs. Wesermünde";NA;"25.10.2004";"evangelisch";"keine Angaben";"Reallehrerin";"SPD";1;"11";NA;"Fraktion der Sozialdemokratischen Partei Deutschlands";"Landesliste"
"10";"";"Eduard";"Adorno";"Eduard Adorno";"männlich";"31.10.1920";"München";NA;"28.12.2000";"katholisch";"verheiratet, 5 Kinder";"Dipl.-Landwirt, Landesminister a. D.";"CDU";1;"4";"195";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Direktwahl"
"11";"Dr.";"Jochen";"Aerssen";"Dr. Jochen Aerssen";"männlich";"15.04.1941";"Kevelaer";NA;"09.01.1992";"katholisch";"verwitwet, 3 Kinder";"Rechtsanwalt, Diplom-Volkswirt";"CDU";1;"8";"83";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Direktwahl"
"12";"";"Willi";"Agatz";"Willi Agatz";"männlich";"10.06.1904";"Essen";NA;"29.08.1957";"ohne Angaben";"keine Angaben";"Bergmann, Gewerkschaftsfunktionär";"KPD";1;"1";NA;"Fraktion der Kommunistischen Partei Deutschlands";"Landesliste"
"13";"";"Conrad";"Ahlers";"Conrad Ahlers";"männlich";"08.11.1922";"Hamburg";NA;"19.12.1980";"evangelisch";"verheiratet, 3 Kinder";"Journalist";"SPD";1;"7";"152";"Fraktion der Sozialdemokratischen Partei Deutschlands";"Direktwahl"
"14";"";"Adolf";"Ahrens";"Adolf Ahrens";"männlich";"17.09.1879";"Bremerhaven";NA;"21.01.1957";"evangelisch";"keine Angaben";"Kapitän a. D.";"DP";1;"1";NA;"Fraktion Deutsche Partei";"Landesliste"
"15";"";"Hermann";"Ahrens";"Hermann Ahrens";"männlich";"08.04.1902";"Jerstedt";NA;"14.07.1975";"ohne Angaben";"verheiratet";"Verwaltungsbeamter";"SPD";1;"5";NA;"Fraktion der SPD (Gast)";"Landesliste"
"16";"Dr.";"Karl";"Ahrens";"Dr. Karl Ahrens";"männlich";"13.03.1924";"Hilter / Teutoburger Wald";NA;"06.03.2015";"ohne Angaben";"verheiratet, 2 Kinder";"Ministerialdirigent a. D.";"SPD";1;"6";"42";"Fraktion der Sozialdemokratischen Partei Deutschlands";"Direktwahl"
"17";"Dr.";"Heinrich";"Aigner";"Dr. Heinrich Aigner";"männlich";"25.05.1924";"Ebrach";NA;"24.03.1988";"römisch-katholisch";"verheiratet, 3 Kinder";"Regierungsrat a. D.";"CSU";1;"3";"214";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Direktwahl"
"18";"";"Siegbert";"Alber";"Siegbert Alber";"männlich";"27.07.1936";"Hechingen / Hohenzollern";NA;NA;"katholisch";"verheiratet, 1 Kind";"Regierungsrat a. D.";"CDU";1;"6";NA;"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Landesliste"
"19";"";"Johannes";"Albers";"Johannes Albers";"männlich";"08.03.1890";"Mönchengladbach";NA;"08.03.1963";"katholisch";"keine Angaben";"Geschäftsführer";"CDU";1;"1";"9";"Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union";"Direktwahl"
"20";"";"Luise";"Albertz";"Luise Albertz";"weiblich";"22.06.1901";"Duisburg";NA;"01.02.1979";"ohne Angaben";"keine Angaben";"Buchhalterin";"SPD";1;"1";NA;"Fraktion der Sozialdemokratischen Partei Deutschlands";"Landesliste"
